city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Porto Alegre,4314902.0,2020-03-11,202011,1488252.0,1483771.0,False,False,1,0.06719,2020-03-11,0.0,0,1,city,RS,1,0
Porto Alegre,4314902.0,2020-03-12,202011,1488252.0,1483771.0,False,False,2,0.13439,2020-03-12,0.0,0,2,city,RS,1,0
Porto Alegre,4314902.0,2020-03-13,202011,1488252.0,1483771.0,False,False,2,0.13439,2020-03-13,0.0,0,3,city,RS,0,0
Porto Alegre,4314902.0,2020-03-14,202011,1488252.0,1483771.0,False,True,2,0.13439,2020-03-13,0.0,0,4,city,RS,0,0
Porto Alegre,4314902.0,2020-03-15,202012,1488252.0,1483771.0,False,True,2,0.13439,2020-03-13,0.0,0,5,city,RS,0,0
Porto Alegre,4314902.0,2020-03-16,202012,1488252.0,1483771.0,False,False,6,0.40316,2020-03-16,0.0,0,6,city,RS,4,0
Porto Alegre,4314902.0,2020-03-17,202012,1488252.0,1483771.0,False,True,6,0.40316,2020-03-16,0.0,0,7,city,RS,0,0
Porto Alegre,4314902.0,2020-03-18,202012,1488252.0,1483771.0,False,False,15,1.00789,2020-03-18,0.0,0,8,city,RS,9,0
Porto Alegre,4314902.0,2020-03-19,202012,1488252.0,1483771.0,False,False,20,1.34386,2020-03-19,0.0,0,9,city,RS,5,0
Porto Alegre,4314902.0,2020-03-20,202012,1488252.0,1483771.0,False,False,25,1.67982,2020-03-20,0.0,0,10,city,RS,5,0
Porto Alegre,4314902.0,2020-03-21,202012,1488252.0,1483771.0,False,False,35,2.35175,2020-03-21,0.0,0,11,city,RS,10,0
Porto Alegre,4314902.0,2020-03-22,202013,1488252.0,1483771.0,False,False,38,2.55333,2020-03-22,0.0,0,12,city,RS,3,0
Porto Alegre,4314902.0,2020-03-23,202013,1488252.0,1483771.0,False,False,41,2.75491,2020-03-23,0.0,0,13,city,RS,3,0
Porto Alegre,4314902.0,2020-03-24,202013,1488252.0,1483771.0,False,False,47,3.15807,2020-03-24,0.0,0,14,city,RS,6,0
Porto Alegre,4314902.0,2020-03-25,202013,1488252.0,1483771.0,False,False,87,5.84578,2020-03-25,0.0115,1,15,city,RS,40,1
Porto Alegre,4314902.0,2020-03-26,202013,1488252.0,1483771.0,False,False,103,6.92087,2020-03-26,0.0097,1,16,city,RS,16,0
Porto Alegre,4314902.0,2020-03-27,202013,1488252.0,1483771.0,False,False,107,7.18964,2020-03-27,0.0187,2,17,city,RS,4,1
Porto Alegre,4314902.0,2020-03-28,202013,1488252.0,1483771.0,False,False,107,7.18964,2020-03-28,0.0187,2,18,city,RS,0,0
Porto Alegre,4314902.0,2020-03-29,202014,1488252.0,1483771.0,False,False,135,9.07104,2020-03-29,0.0148,2,19,city,RS,28,0
Porto Alegre,4314902.0,2020-03-30,202014,1488252.0,1483771.0,False,False,143,9.60859,2020-03-30,0.014,2,20,city,RS,8,0
Porto Alegre,4314902.0,2020-03-31,202014,1488252.0,1483771.0,False,False,190,12.76666,2020-03-31,0.0105,2,21,city,RS,47,0
Porto Alegre,4314902.0,2020-04-01,202014,1488252.0,1483771.0,False,False,190,12.76666,2020-04-01,0.0158,3,22,city,RS,0,1
Porto Alegre,4314902.0,2020-04-02,202014,1488252.0,1483771.0,False,False,232,15.58876,2020-04-02,0.0129,3,23,city,RS,42,0
Porto Alegre,4314902.0,2020-04-03,202014,1488252.0,1483771.0,False,False,233,15.65595,2020-04-03,0.0172,4,24,city,RS,1,1
Porto Alegre,4314902.0,2020-04-04,202014,1488252.0,1483771.0,False,False,241,16.19349,2020-04-04,0.0166,4,25,city,RS,8,0
Porto Alegre,4314902.0,2020-04-05,202015,1488252.0,1483771.0,False,False,254,17.067,2020-04-05,0.0197,5,26,city,RS,13,1
Porto Alegre,4314902.0,2020-04-06,202015,1488252.0,1483771.0,False,False,253,16.99981,2020-04-06,0.0198,5,27,city,RS,-1,0
Porto Alegre,4314902.0,2020-04-07,202015,1488252.0,1483771.0,False,False,272,18.27647,2020-04-07,0.0184,5,28,city,RS,19,0
Porto Alegre,4314902.0,2020-04-08,202015,1488252.0,1483771.0,False,False,279,18.74683,2020-04-08,0.0215,6,29,city,RS,7,1
Porto Alegre,4314902.0,2020-04-09,202015,1488252.0,1483771.0,False,False,303,20.35946,2020-04-09,0.0198,6,30,city,RS,24,0
Porto Alegre,4314902.0,2020-04-10,202015,1488252.0,1483771.0,False,False,303,20.35946,2020-04-10,0.0198,6,31,city,RS,0,0
Porto Alegre,4314902.0,2020-04-11,202015,1488252.0,1483771.0,False,False,311,20.897,2020-04-11,0.0193,6,32,city,RS,8,0
Porto Alegre,4314902.0,2020-04-12,202016,1488252.0,1483771.0,False,False,314,21.09858,2020-04-12,0.0191,6,33,city,RS,3,0
Porto Alegre,4314902.0,2020-04-13,202016,1488252.0,1483771.0,False,False,315,21.16577,2020-04-13,0.0222,7,34,city,RS,1,1
Porto Alegre,4314902.0,2020-04-14,202016,1488252.0,1483771.0,False,False,327,21.97209,2020-04-14,0.0245,8,35,city,RS,12,1
Porto Alegre,4314902.0,2020-04-15,202016,1488252.0,1483771.0,False,False,350,23.51752,2020-04-15,0.0229,8,36,city,RS,23,0
Porto Alegre,4314902.0,2020-04-16,202016,1488252.0,1483771.0,False,False,361,24.25664,2020-04-16,0.0222,8,37,city,RS,11,0
Porto Alegre,4314902.0,2020-04-17,202016,1488252.0,1483771.0,False,False,369,24.79419,2020-04-17,0.0244,9,38,city,RS,8,1
Porto Alegre,4314902.0,2020-04-18,202016,1488252.0,1483771.0,False,False,374,25.13015,2020-04-18,0.0241,9,39,city,RS,5,0
Porto Alegre,4314902.0,2020-04-19,202017,1488252.0,1483771.0,False,False,374,25.13015,2020-04-19,0.0241,9,40,city,RS,0,0
Porto Alegre,4314902.0,2020-04-20,202017,1488252.0,1483771.0,False,False,390,26.20524,2020-04-20,0.0256,10,41,city,RS,16,1
Porto Alegre,4314902.0,2020-04-21,202017,1488252.0,1483771.0,False,False,393,26.40682,2020-04-21,0.0254,10,42,city,RS,3,0
Porto Alegre,4314902.0,2020-04-22,202017,1488252.0,1483771.0,False,False,401,26.94436,2020-04-22,0.0249,10,43,city,RS,8,0
Porto Alegre,4314902.0,2020-04-23,202017,1488252.0,1483771.0,False,False,413,27.75068,2020-04-23,0.0242,10,44,city,RS,12,0
Porto Alegre,4314902.0,2020-04-24,202017,1488252.0,1483771.0,False,False,420,28.22103,2020-04-24,0.0262,11,45,city,RS,7,1
Porto Alegre,4314902.0,2020-04-25,202017,1488252.0,1483771.0,False,False,425,28.55699,2020-04-25,0.0282,12,46,city,RS,5,1
Porto Alegre,4314902.0,2020-04-26,202018,1488252.0,1483771.0,False,False,427,28.69138,2020-04-26,0.0281,12,47,city,RS,2,0
Porto Alegre,4314902.0,2020-04-27,202018,1488252.0,1483771.0,False,False,430,28.89296,2020-04-27,0.0326,14,48,city,RS,3,2
Porto Alegre,4314902.0,2020-04-28,202018,1488252.0,1483771.0,False,False,441,29.63208,2020-04-28,0.0317,14,49,city,RS,11,0
Porto Alegre,4314902.0,2020-04-29,202018,1488252.0,1483771.0,False,False,447,30.03524,2020-04-29,0.0313,14,50,city,RS,6,0
Porto Alegre,4314902.0,2020-04-30,202018,1488252.0,1483771.0,False,False,451,30.30401,2020-04-30,0.0333,15,51,city,RS,4,1
Porto Alegre,4314902.0,2020-05-01,202018,1488252.0,1483771.0,False,False,455,30.57278,2020-05-01,0.033,15,52,city,RS,4,0
Porto Alegre,4314902.0,2020-05-02,202018,1488252.0,1483771.0,False,False,454,30.50559,2020-05-02,0.0352,16,53,city,RS,-1,1
Porto Alegre,4314902.0,2020-05-03,202019,1488252.0,1483771.0,False,False,460,30.90874,2020-05-03,0.0348,16,54,city,RS,6,0
Porto Alegre,4314902.0,2020-05-04,202019,1488252.0,1483771.0,False,False,464,31.17752,2020-05-04,0.0345,16,55,city,RS,4,0
Porto Alegre,4314902.0,2020-05-05,202019,1488252.0,1483771.0,False,False,467,31.37909,2020-05-05,0.0364,17,56,city,RS,3,1
Porto Alegre,4314902.0,2020-05-06,202019,1488252.0,1483771.0,False,False,477,32.05102,2020-05-06,0.0356,17,57,city,RS,10,0
Porto Alegre,4314902.0,2020-05-07,202019,1488252.0,1483771.0,False,False,479,32.18541,2020-05-07,0.0355,17,58,city,RS,2,0
Porto Alegre,4314902.0,2020-05-08,202019,1488252.0,1483771.0,False,False,498,33.46207,2020-05-08,0.0341,17,59,city,RS,19,0
Porto Alegre,4314902.0,2020-05-09,202019,1488252.0,1483771.0,False,False,507,34.06681,2020-05-09,0.0335,17,60,city,RS,9,0
Porto Alegre,4314902.0,2020-05-10,202020,1488252.0,1483771.0,False,False,508,34.134,2020-05-10,0.0335,17,61,city,RS,1,0
Porto Alegre,4314902.0,2020-05-11,202020,1488252.0,1483771.0,False,False,529,35.54506,2020-05-11,0.034,18,62,city,RS,21,1
Porto Alegre,4314902.0,2020-05-12,202020,1488252.0,1483771.0,False,False,546,36.68734,2020-05-12,0.0348,19,63,city,RS,17,1
Porto Alegre,4314902.0,2020-05-13,202020,1488252.0,1483771.0,False,False,564,37.89681,2020-05-13,0.0372,21,64,city,RS,18,2
Porto Alegre,4314902.0,2020-05-14,202020,1488252.0,1483771.0,False,False,574,38.56874,2020-05-14,0.0366,21,65,city,RS,10,0
Porto Alegre,4314902.0,2020-05-15,202020,1488252.0,1483771.0,False,False,597,40.11417,2020-05-15,0.0352,21,66,city,RS,23,0
Porto Alegre,4314902.0,2020-05-16,202020,1488252.0,1483771.0,False,False,597,40.11417,2020-05-16,0.0352,21,67,city,RS,0,0
Porto Alegre,4314902.0,2020-05-17,202021,1488252.0,1483771.0,False,False,602,40.45014,2020-05-17,0.0349,21,68,city,RS,5,0
Porto Alegre,4314902.0,2020-05-18,202021,1488252.0,1483771.0,False,False,603,40.51733,2020-05-18,0.0398,24,69,city,RS,1,3
Porto Alegre,4314902.0,2020-05-19,202021,1488252.0,1483771.0,False,False,603,40.51733,2020-05-19,0.0415,25,70,city,RS,0,1
Porto Alegre,4314902.0,2020-05-20,202021,1488252.0,1483771.0,False,False,601,40.38295,2020-05-20,0.0416,25,71,city,RS,-2,0
Porto Alegre,4314902.0,2020-05-21,202021,1488252.0,1483771.0,False,False,601,40.38295,2020-05-21,0.0433,26,72,city,RS,0,1
Porto Alegre,4314902.0,2020-05-22,202021,1488252.0,1483771.0,False,False,601,40.38295,2020-05-22,0.0433,26,73,city,RS,0,0
Porto Alegre,4314902.0,2020-05-23,202021,1488252.0,1483771.0,False,False,601,40.38295,2020-05-23,0.0449,27,74,city,RS,0,1
Porto Alegre,4314902.0,2020-05-24,202022,1488252.0,1483771.0,False,False,602,40.45014,2020-05-24,0.0465,28,75,city,RS,1,1
Porto Alegre,4314902.0,2020-05-25,202022,1488252.0,1483771.0,False,False,603,40.51733,2020-05-25,0.0531,32,76,city,RS,1,4
Porto Alegre,4314902.0,2020-05-26,202022,1488252.0,1483771.0,False,False,603,40.51733,2020-05-26,0.0531,32,77,city,RS,0,0
Porto Alegre,4314902.0,2020-05-27,202022,1488252.0,1483771.0,False,False,603,40.51733,2020-05-27,0.0531,32,78,city,RS,0,0
Porto Alegre,4314902.0,2020-05-28,202022,1488252.0,1483771.0,False,False,605,40.65172,2020-05-28,0.0579,35,79,city,RS,2,3
Porto Alegre,4314902.0,2020-05-29,202022,1488252.0,1483771.0,False,False,637,42.80189,2020-05-29,0.0534,34,80,city,RS,32,-1
Porto Alegre,4314902.0,2020-05-30,202022,1488252.0,1483771.0,False,False,731,49.11803,2020-05-30,0.0465,34,81,city,RS,94,0
Porto Alegre,4314902.0,2020-05-31,202023,1488252.0,1483771.0,False,False,743,49.92434,2020-05-31,0.0471,35,82,city,RS,12,1
Porto Alegre,4314902.0,2020-06-01,202023,1488252.0,1483771.0,False,False,744,49.99153,2020-06-01,0.0497,37,83,city,RS,1,2
Porto Alegre,4314902.0,2020-06-02,202023,1488252.0,1483771.0,False,False,747,50.19311,2020-06-02,0.0522,39,84,city,RS,3,2
Porto Alegre,4314902.0,2020-06-03,202023,1488252.0,1483771.0,False,False,778,52.27609,2020-06-03,0.0527,41,85,city,RS,31,2
Porto Alegre,4314902.0,2020-06-04,202023,1488252.0,1483771.0,False,False,949,63.76608,2020-06-04,0.0443,42,86,city,RS,171,1
Porto Alegre,4314902.0,2020-06-05,202023,1488252.0,1483771.0,False,False,1077,72.36678,2020-06-05,0.0399,43,87,city,RS,128,1
Porto Alegre,4314902.0,2020-06-06,202023,1488252.0,1483771.0,False,False,1131,75.99519,2020-06-06,0.0389,44,88,city,RS,54,1
Porto Alegre,4314902.0,2020-06-07,202024,1488252.0,1483771.0,False,False,1139,76.53274,2020-06-07,0.0386,44,89,city,RS,8,0
Porto Alegre,4314902.0,2020-06-08,202024,1488252.0,1483771.0,False,False,1141,76.66712,2020-06-08,0.0386,44,90,city,RS,2,0
Porto Alegre,4314902.0,2020-06-09,202024,1488252.0,1483771.0,False,False,1153,77.47344,2020-06-09,0.0399,46,91,city,RS,12,2
Porto Alegre,4314902.0,2020-06-10,202024,1488252.0,1483771.0,False,False,1245,83.65519,2020-06-10,0.0386,48,92,city,RS,92,2
Porto Alegre,4314902.0,2020-06-11,202024,1488252.0,1483771.0,False,False,1297,87.14922,2020-06-11,0.0393,51,93,city,RS,52,3
Porto Alegre,4314902.0,2020-06-12,202024,1488252.0,1483771.0,False,False,1304,87.61957,2020-06-12,0.0391,51,94,city,RS,7,0
Porto Alegre,4314902.0,2020-06-13,202024,1488252.0,1483771.0,False,False,1346,90.44167,2020-06-13,0.0386,52,95,city,RS,42,1
Porto Alegre,4314902.0,2020-06-14,202025,1488252.0,1483771.0,False,False,1353,90.91202,2020-06-14,0.0392,53,96,city,RS,7,1
Porto Alegre,4314902.0,2020-06-15,202025,1488252.0,1483771.0,False,False,1398,93.9357,2020-06-15,0.0393,55,97,city,RS,45,2
Porto Alegre,4314902.0,2020-06-16,202025,1488252.0,1483771.0,False,False,1568,105.3585,2020-06-16,0.0364,57,98,city,RS,170,2
Porto Alegre,4314902.0,2020-06-17,202025,1488252.0,1483771.0,False,False,1611,108.2478,2020-06-17,0.036,58,99,city,RS,43,1
Porto Alegre,4314902.0,2020-06-18,202025,1488252.0,1483771.0,False,False,1632,109.65885,2020-06-18,0.0368,60,100,city,RS,21,2
Porto Alegre,4314902.0,2020-06-19,202025,1488252.0,1483771.0,False,False,1648,110.73393,2020-06-19,0.0382,63,101,city,RS,16,3
Porto Alegre,4314902.0,2020-06-20,202025,1488252.0,1483771.0,False,False,1669,112.14499,2020-06-20,0.0383,64,102,city,RS,21,1
Porto Alegre,4314902.0,2020-06-21,202026,1488252.0,1483771.0,False,False,1673,112.41376,2020-06-21,0.0389,65,103,city,RS,4,1
Porto Alegre,4314902.0,2020-06-22,202026,1488252.0,1483771.0,False,False,1694,113.82481,2020-06-22,0.039,66,104,city,RS,21,1
Porto Alegre,4314902.0,2020-06-23,202026,1488252.0,1483771.0,False,False,1868,125.51638,2020-06-23,0.0359,67,105,city,RS,174,1
Porto Alegre,4314902.0,2020-06-24,202026,1488252.0,1483771.0,False,False,2123,142.65057,2020-06-24,0.0325,69,106,city,RS,255,2
Porto Alegre,4314902.0,2020-06-25,202026,1488252.0,1483771.0,False,False,2265,152.19197,2020-06-25,0.0305,69,107,city,RS,142,0
Porto Alegre,4314902.0,2020-06-26,202026,1488252.0,1483771.0,False,False,2383,160.12073,2020-06-26,0.0319,76,108,city,RS,118,7
Porto Alegre,4314902.0,2020-06-27,202026,1488252.0,1483771.0,False,False,2456,165.02582,2020-06-27,0.0322,79,109,city,RS,73,3
Porto Alegre,4314902.0,2020-06-28,202027,1488252.0,1483771.0,False,False,2464,165.56336,2020-06-28,0.0325,80,110,city,RS,8,1
Porto Alegre,4314902.0,2020-06-29,202027,1488252.0,1483771.0,False,False,2484,166.90722,2020-06-29,0.0338,84,111,city,RS,20,4
Porto Alegre,4314902.0,2020-06-30,202027,1488252.0,1483771.0,False,False,2589,173.96247,2020-06-30,0.0344,89,112,city,RS,105,5
